Empresa,Título da Vaga,Tipo de Trabalho,Link,Data
,Desenvolvedor(a) Python,Remoto,https://vempropecege.gupy.io/job/eyJqb2JJZCI6OTAyNzM5OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor(a) Python - SR,Remoto,https://doc9.gupy.io/job/eyJqb2JJZCI6OTAyMDQ3OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Sr Backend Developer - Python (S/PARC),Remoto,https://invillia.gupy.io/job/eyJqb2JJZCI6OTAwNjU0NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Software Engineer Backend Java | Python,Remoto,https://softdesign.gupy.io/job/eyJqb2JJZCI6OTAxMTI2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor Python JR,Remoto,https://nordware.gupy.io/job/eyJqb2JJZCI6ODk5MjAzMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Analista de Suporte Técnico (Python Tech Ops),Remoto,https://institutoeldorado.gupy.io/job/eyJqb2JJZCI6ODk0NzUxMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,DESENVOLVEDOR PYTHON | TYPESCRIPT JUNIOR,Híbrido,https://brasilprev.gupy.io/job/eyJqb2JJZCI6ODkwMDUwNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Engenheiro de Software Fullstack - Python/Angular/AWS,Remoto,https://stefanini.gupy.io/job/eyJqb2JJZCI6ODk2NDE0NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,.NET Developer + Python,Remoto,https://stefaninilatam.gupy.io/job/eyJqb2JJZCI6ODkzMjI4Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Pessoa Desenvolvedora Back-End Python Sênior [SP],Híbrido,https://open-co.gupy.io/job/eyJqb2JJZCI6ODkyNjA5NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Python Developer | Senior/Mid,Remoto,https://compass.gupy.io/job/eyJqb2JJZCI6ODk0ODY1Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Python Full-Stack Developer | Senior,Remoto,https://compass.gupy.io/job/eyJqb2JJZCI6ODk0NjUwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Analista de Testes Automatizados (Python),Remoto,https://mutantbrvagas.gupy.io/job/eyJqb2JJZCI6ODg5NjI3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Mid Software Engineer - Python,Remoto,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODg0ODg1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor de Automação e RPA (Python),Híbrido,https://votorantimcimentos.gupy.io/job/eyJqb2JJZCI6ODgxMDYyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Pessoa Instrutora de Python,Híbrido,https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODcyODYxMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Analista de Desenvolvimento de Software - Python,Híbrido,https://inventsoftware.gupy.io/job/eyJqb2JJZCI6ODcyMjU1NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor Back End - Python | Django,Remoto,https://gedanken.gupy.io/job/eyJqb2JJZCI6ODU1MTYxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Analista Machine Learning/Python,Remoto,https://stefanini.gupy.io/job/eyJqb2JJZCI6NzQwNzM0MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
